qKfz(Zufall);qLkw(Zufall);vPkw(Zufall);vLkw(Zufall);vgKfz(Zufall);b(Zufall);tNetto(Zufall);s(Zufall);qKfz(3);qLkw(3);vPkw(3);vLkw(3);vgKfz(3);b(3);tNetto(3);s(3)
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
416,8828394;494,5829646;87,27640614;52,79457991;37,67693106;41,46000549;202,8387707;0,651570177;417;495;87;53;38;41;203;1
19,22666097;494,0488907;159,7005524;115,0523392;138,5686819;15,69627979;64,88174078;47,13888974;19;494;160;115;139;16;65;47
